epoch,accuracy,loss,val_accuracy,val_loss
0,0.9570648074150085,0.12548799812793732,0.9305230379104614,0.2122289091348648
1,0.9603825211524963,0.10999858379364014,0.9305230379104614,0.21249103546142578
2,0.959211528301239,0.11528319120407104,0.9289617538452148,0.21349464356899261
3,0.9635050892829895,0.09622079133987427,0.932084321975708,0.22097499668598175
4,0.9658470153808594,0.0942278802394867,0.9274004697799683,0.21612867712974548
5,0.9625293016433716,0.09893736243247986,0.932084321975708,0.22847038507461548
6,0.9683840870857239,0.09514527767896652,0.9305230379104614,0.21276217699050903
7,0.9681889414787292,0.08663054555654526,0.9336456060409546,0.23040394484996796
8,0.9679937362670898,0.08872725069522858,0.932084321975708,0.228584423661232
9,0.971506655216217,0.08171162009239197,0.9313036799430847,0.2282130867242813
